2017-01-16 18:02:45 startup archives install
2017-01-16 18:02:45 install base-passwd:amd64 <none> 3.5.37
2017-01-16 18:02:45 status half-installed base-passwd:amd64 3.5.37
2017-01-16 18:02:46 status unpacked base-passwd:amd64 3.5.37
2017-01-16 18:02:46 status unpacked base-passwd:amd64 3.5.37
2017-01-16 18:02:46 configure base-passwd:amd64 3.5.37 3.5.37
2017-01-16 18:02:46 status unpacked base-passwd:amd64 3.5.37
2017-01-16 18:02:46 status half-configured base-passwd:amd64 3.5.37
2017-01-16 18:02:46 status installed base-passwd:amd64 3.5.37
2017-01-16 18:02:46 startup archives install
2017-01-16 18:02:47 install base-files:amd64 <none> 8+deb8u7
2017-01-16 18:02:47 status half-installed base-files:amd64 8+deb8u7
2017-01-16 18:02:48 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:02:48 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:02:48 configure base-files:amd64 8+deb8u7 8+deb8u7
2017-01-16 18:02:48 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:02:48 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:02:48 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:02:48 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:02:49 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:02:49 status unpacked base-files:amd64 8+deb8u7
2017-01-16 18:02:49 status half-configured base-files:amd64 8+deb8u7
2017-01-16 18:02:49 status installed base-files:amd64 8+deb8u7
2017-01-16 18:02:49 startup archives install
2017-01-16 18:02:49 upgrade dpkg 1.17.27 1.17.27
2017-01-16 18:02:49 status half-configured dpkg 1.17.27
2017-01-16 18:02:49 status unpacked dpkg 1.17.27
2017-01-16 18:02:50 status half-installed dpkg 1.17.27
2017-01-16 18:02:52 status half-installed dpkg 1.17.27
2017-01-16 18:02:52 status unpacked dpkg 1.17.27
2017-01-16 18:02:52 status unpacked dpkg 1.17.27
2017-01-16 18:02:52 configure dpkg 1.17.27 1.17.27
2017-01-16 18:02:52 status unpacked dpkg 1.17.27
2017-01-16 18:02:52 status unpacked dpkg 1.17.27
2017-01-16 18:02:52 status unpacked dpkg 1.17.27
2017-01-16 18:02:52 status unpacked dpkg 1.17.27
2017-01-16 18:02:52 status unpacked dpkg 1.17.27
2017-01-16 18:02:52 status half-configured dpkg 1.17.27
2017-01-16 18:02:52 status installed dpkg 1.17.27
2017-01-16 18:02:53 startup archives install
2017-01-16 18:02:53 install libc6:amd64 <none> 2.19-18+deb8u7
2017-01-16 18:02:53 status half-installed libc6:amd64 2.19-18+deb8u7
2017-01-16 18:02:59 status unpacked libc6:amd64 2.19-18+deb8u7
2017-01-16 18:02:59 status unpacked libc6:amd64 2.19-18+deb8u7
2017-01-16 18:02:59 configure libc6:amd64 2.19-18+deb8u7 2.19-18+deb8u7
2017-01-16 18:02:59 status unpacked libc6:amd64 2.19-18+deb8u7
2017-01-16 18:02:59 status unpacked libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:00 status half-configured libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:00 status installed libc6:amd64 2.19-18+deb8u7
2017-01-16 18:03:00 startup archives install
2017-01-16 18:03:00 install perl-base:amd64 <none> 5.20.2-3+deb8u6
2017-01-16 18:03:00 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-01-16 18:03:07 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-01-16 18:03:07 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-01-16 18:03:07 configure perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-01-16 18:03:07 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-01-16 18:03:07 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-01-16 18:03:07 status installed perl-base:amd64 5.20.2-3+deb8u6
2017-01-16 18:03:07 startup archives install
2017-01-16 18:03:08 install mawk:amd64 <none> 1.3.3-17
2017-01-16 18:03:08 status half-installed mawk:amd64 1.3.3-17
2017-01-16 18:03:08 status unpacked mawk:amd64 1.3.3-17
2017-01-16 18:03:08 status unpacked mawk:amd64 1.3.3-17
2017-01-16 18:03:08 configure mawk:amd64 1.3.3-17 1.3.3-17
2017-01-16 18:03:08 status unpacked mawk:amd64 1.3.3-17
2017-01-16 18:03:08 status half-configured mawk:amd64 1.3.3-17
2017-01-16 18:03:08 status installed mawk:amd64 1.3.3-17
2017-01-16 18:03:09 startup archives unpack
2017-01-16 18:03:09 install acl:amd64 <none> 2.2.52-2
2017-01-16 18:03:09 status half-installed acl:amd64 2.2.52-2
2017-01-16 18:03:09 status unpacked acl:amd64 2.2.52-2
2017-01-16 18:03:09 status unpacked acl:amd64 2.2.52-2
2017-01-16 18:03:09 install libacl1:amd64 <none> 2.2.52-2
2017-01-16 18:03:09 status half-installed libacl1:amd64 2.2.52-2
2017-01-16 18:03:10 status unpacked libacl1:amd64 2.2.52-2
2017-01-16 18:03:10 status unpacked libacl1:amd64 2.2.52-2
2017-01-16 18:03:10 install adduser:all <none> 3.113+nmu3
2017-01-16 18:03:10 status half-installed adduser:all 3.113+nmu3
2017-01-16 18:03:13 status unpacked adduser:all 3.113+nmu3
